,Position,Track Name,Artist,Streams
0,1,Blinding Lights,The Weeknd,43316941
1,2,The Box,Roddy Ricch,39070218
2,3,Dance Monkey,Tones And I,38072447
3,4,Don't Start Now,Dua Lipa,33460126
4,5,Intentions (feat. Quavo),Justin Bieber,29542408
5,6,Ignorantes,Bad Bunny,29245976
6,7,La Difícil,Bad Bunny,27543705
7,8,Tusa,KAROL G,27008232
8,9,Si Veo a Tu Mamá,Bad Bunny,26149940
9,10,Say So,Doja Cat,25776622
10,11,Falling,Trevor Daniel,25772863
11,12,ROXANNE,Arizona Zervas,24637369
12,13,Stupid Love,Lady Gaga,24400673
13,14,La Santa,Bad Bunny,21283293
14,15,Vete,Bad Bunny,21120084
15,16,No Time To Die,Billie Eilish,19928494
16,17,Circles,Post Malone,19907615
17,18,Yummy,Justin Bieber,19852847
18,19,Life Is Good (feat. Drake),Future,19636667
19,20,Someone You Loved,Lewis Capaldi,19361108
20,21,everything i wanted,Billie Eilish,18851747
21,22,Memories,Maroon 5,18238529
22,23,Godzilla (feat. Juice WRLD),Eminem,17860713
23,24,After Hours,The Weeknd,17441043
24,25,Roses - Imanbek Remix,SAINt JHN,17283281
25,26,Blueberry Faygo,Lil Mosey,17094530
26,27,Sunday Best,Surfaces,17010674
27,28,Adore You,Harry Styles,16982508
28,29,Pero Ya No,Bad Bunny,16283183
29,30,bad guy,Billie Eilish,15728150
30,31,death bed (coffee for your head),Powfu,15647476
31,32,Yo Perreo Sola,Bad Bunny,15245370
32,33,Rojo,J Balvin,15186977
33,34,Before You Go,Lewis Capaldi,14835609
34,35,You should be sad,Halsey,14829383
35,36,Señorita,Shawn Mendes,14694421
36,37,Physical,Dua Lipa,14266925
37,38,Safaera,Bad Bunny,14151879
38,39,Sigues Con El,Dímelo Flow,14051875
39,40,RITMO (Bad Boys For Life),Black Eyed Peas,13934542
40,41,My Oh My (feat. DaBaby),Camila Cabello,13867463
41,42,Moral of the Story,Ashe,13675094
42,43,Morado,J Balvin,13652244
43,44,Bichiyal,Bad Bunny,12612985
44,45,Soliá,Bad Bunny,12531015
45,46,René,Residente,12359067
46,47,High Fashion (feat. Mustard),Roddy Ricch,12159026
47,48,Lose Control,MEDUZA,12156841
48,49,That Way,Lil Uzi Vert,12059592
49,50,Forever (feat. Post Malone & Clever),Justin Bieber,11851600
50,51,Ride It,Regard,11367332
51,52,A Tu Merced,Bad Bunny,11349696
52,53,Hola - Remix,Dalex,11347665
53,54,To Die For,Sam Smith,11192680
54,55,Está Cabrón Ser Yo,Bad Bunny,11110403
55,56,ON,BTS,10858765
56,57,Que Malo,Bad Bunny,10834802
57,58,Diosa,Myke Towers,10727725
58,59,WHATS POPPIN,Jack Harlow,10661717
59,60,La Zona,Bad Bunny,10658439
60,61,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10538467
61,62,I Don't Care (with Justin Bieber),Ed Sheeran,10459363
62,63,25/8,Bad Bunny,10436057
63,64,Keii,Anuel AA,10323208
64,65,Heatin Up (feat. Gunna),Lil Baby,10048849
65,66,<3,Bad Bunny,9947019
66,67,hot girl bummer,blackbear,9844266
67,68,What A Man Gotta Do,Jonas Brothers,9736693
68,69,Una Vez,Bad Bunny,9732627
69,70,Hablamos Mañana,Bad Bunny,9597020
70,71,Muévelo,Nicky Jam,9453916
71,72,"10,000 Hours (with Justin Bieber)",Dan + Shay,9441982
72,73,What If I Told You That I Love You,Ali Gatie,9349345
73,74,Suicidal,YNW Melly,9199949
74,75,lovely (with Khalid),Billie Eilish,9140612
75,76,Ballin' (with Roddy Ricch),Mustard,9110293
76,77,Woah,Lil Baby,9067344
77,78,Know Your Worth,Khalid,8890835
78,79,Beautiful People (feat. Khalid),Ed Sheeran,8881591
79,80,Shallow,Lady Gaga,8876984
80,81,The Other Side (from Trolls World Tour),SZA,8874869
81,82,HIGHEST IN THE ROOM,Travis Scott,8830589
82,83,CITY OF ANGELS,24kGoldn,8758154
83,84,ON (Feat. Sia),BTS,8747101
84,85,LA CANCIÓN,J Balvin,8728508
85,86,when the party's over,Billie Eilish,8709444
86,87,Tattoo,Rauw Alejandro,8518116
87,88,Fantasias,Rauw Alejandro,8515984
88,89,Feel Me,Selena Gomez,8505342
89,90,Lose You To Love Me,Selena Gomez,8483953
90,91,If the World Was Ending - feat. Julia Michaels,JP Saxe,8474719
91,92,China,Anuel AA,8474301
92,93,Me Gusta,Shakira,8397012
93,94,No Me Conoce - Remix,Jhay Cortez,8392003
94,95,SUGAR,BROCKHAMPTON,8380734
95,96,Callaita,Bad Bunny,8330764
96,97,BOP,DaBaby,8305378
97,98,Lucid Dreams,Juice WRLD,8301065
98,99,P FKN R,Bad Bunny,8195948
99,100,Watermelon Sugar,Harry Styles,8067772
100,101,Never Seen the Rain,Tones And I,7644803
101,102,Falling,Harry Styles,7616632
102,103,7 rings,Ariana Grande,7588245
103,104,Puesto Pa' Guerrial,Bad Bunny,7582895
104,105,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,7492896
105,106,Live Off My Closet (feat. Future),Lil Baby,7410327
106,107,It's You,Ali Gatie,7367668
107,108,"Alone, Pt. II",Alan Walker,7239236
108,109,No Idea,Don Toliver,7227562
109,110,Lalala,Y2K,7222196
110,111,Bandit (with YoungBoy Never Broke Again),Juice WRLD,7213373
111,112,Blanco,J Balvin,7193844
112,113,Black Swan,BTS,7077294
113,114,Goodbyes (Feat. Young Thug),Post Malone,6997730
114,115,OUT WEST (feat. Young Thug),JACKBOYS,6924275
115,116,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,6797565
116,117,Old Town Road - Remix,Lil Nas X,6716976
117,118,Happier,Marshmello,6695444
118,119,Heartless,The Weeknd,6631913
119,120,How Do You Sleep?,Sam Smith,6615168
120,121,Believer,Imagine Dragons,6571430
121,122,Medusa,Jhay Cortez,6561298
122,123,Commercial (feat. Lil Uzi Vert),Lil Baby,6540577
123,124,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,6536453
124,125,Sum 2 Prove,Lil Baby,6497610
125,126,rockstar (feat. 21 Savage),Post Malone,6494322
126,127,Rare,Selena Gomez,6389112
127,128,Sucker,Jonas Brothers,6319463
128,129,Bruises,Lewis Capaldi,6294578
129,130,Bohemian Rhapsody - Remastered 2011,Queen,6280498
130,131,Without Me,Halsey,6254565
131,132,Ayy Macarena,Tyga,6230619
132,133,Whine Up,Nicky Jam,6218531
133,134,Wow.,Post Malone,6177408
134,135,Definitivamente,Daddy Yankee,6065442
135,136,Shape of You,Ed Sheeran,6060192
136,137,Ransom,Lil Tecca,6051424
137,138,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,6044996
138,139,Get You The Moon (feat. Snøw),Kina,6019832
139,140,Say You Won't Let Go,James Arthur,6019724
140,141,Boy With Luv (feat. Halsey),BTS,6007001
141,142,ocean eyes,Billie Eilish,5941619
142,143,Girl,Myke Towers,5921303
143,144,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,5915080
144,145,Filter,BTS,5913946
145,146,Money In The Grave (Drake ft. Rick Ross),Drake,5832906
146,147,Lights Up,Harry Styles,5788003
147,148,Good as Hell (feat. Ariana Grande),Lizzo,5787824
148,149,Dancing With A Stranger (with Normani),Sam Smith,5774259
149,150,Robbery,Juice WRLD,5767924
150,151,Matrix,Apache 207,5724739
